1936,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1936,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1936,"RKO Radio Studio Sound Department, J. O. Aalberg, Sound Director"
1936,"Universal Studio Sound Department, Homer G. Tasker, Sound Director"
1936,Norman Krasna
1936,William Anthony McGuire
1936,Robert Hopkins
1936,"Pierre Collings, Sheridan Gibney"
1936,Adele Comandini
1936,"Frances Goodrich, Albert Hackett"
1936,Sidney Howard
1936,Robert Riskin
1936,"Eric Hatch, Morris Ryskind"
1936,
1936,The Garden of Allah
1937,Conquest
1937,A Star Is Born
1937,Night Must Fall
1937,The Life of Emile Zola
1937,Captains Courageous
1937,The Awful Truth
1937,The Hurricane
1937,Lost Horizon
1937,Topper
1937,Camille
1937,The Good Earth
1937,Stella Dallas
1937,In Old Chicago
1937,Stage Door
1937,Dead End
1937,"Cedric Gibbons, William Horning"
1937,Carroll Clark
1937,Richard Day
1937,Wiard Ihnen
1937,Anton Grot
1937,Stephen Goosson
1937,John Victor Mackay
1937,Lyle Wheeler
1937,"Hans Dreier, Roland Anderson"
1937,Alexander Toluboff
1937,"William S. Darling, David Hall"
1937,Jack Otterson
1937,Robert Webb
1937,Russ Saunders
1937,"C. C. Coleman, Jr."
1937,Hal Walker
1937,Eric Stacey
1937,Gregg Toland
1937,Karl Freund
1937,Joseph Valentine
1937,The Finale number from Varsity Show
1937,"Too Marvelous for Words number from Ready, Willing and Able"
1937,All God's Children Got Rhythm number from A Day at the Races
1937,Swing Is Here to Stay number from Ali Baba Goes to Town
1937,Prince Igor Suite number from Thin Ice
1937,Fun House number from A Damsel in Distress
1937,Luau number from Waikiki Wedding
1937,Leo McCarey
1937,Sidney Franklin
1937,William Dieterle
1937,Gregory La Cava
1937,William Wellman
1937,Al Clark
1937,Elmo Veron
1937,Basil Wrangell
1937,"Gene Havlick, Gene Milford"
1937,Bernard W. Burton
1937,"Samuel Goldwyn Studio Music Department, Alfred Newman, head of department  (Score by Alfred Newman)"
1937,"20th Century-Fox Studio Music Department, Louis Silvers, head of department  (no composer credit)"
1937,"Warner Brothers Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)"
1937,"Columbia Studio Music Department, Morris Stoloff, head of department  (Score by Dimitri Tiomkin)"
1937,"Principal Productions, Dr. Hugo Riesenfeld, musical director  (Score by Dr. Hugo Riesenfeld)"
1937,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart)"
1937,"Universal Studio Music Department, Charles Previn, head of department  (no composer credit)"
1937,"Republic Studio Music Department, Alberto Colombo, head of department  (Score by Alberto Colombo)"
1937,"Selznick International Pictures Music Department, Alfred Newman, musical director  (Score by Alfred Newman)"
1937,"RKO Radio Studio Music Department, Roy Webb, musical director  (Score by Roy Webb)"
1937,"Walt Disney Studio Music Department, Leigh Harline, head of department  (Score by Frank Churchill, Leigh Harline and Paul J. Smith)"
1937,"Grand National Studio Music Department, C. Bakaleinikoff, musical director  (Score by Victor Schertzinger)"
1937,"Paramount Studio Music Department, Boris Morros, head of department  (Score by W. Franke Harling and Milan Roder)"
1937,"Hal Roach Studio Music Department, Marvin Hatley, head of department  (Score by Marvin Hatley)"
1937,Music by Harry Warren; Lyrics by Al Dubin
1937,Music and Lyrics by Harry Owens
1937,Music by Sammy Fain; Lyrics by Lew Brown
1937,Music by George Gershwin; Lyrics by Ira Gershwin
1937,Music by Frederick Hollander; Lyrics by Leo Robin
1937,Columbia
1937,Metro-Goldwyn-Mayer
1937,Samuel Goldwyn Productions
1937,20th Century-Fox
1937,Warner Brothers
1937,Universal
1937,RKO Radio
1937,Selznick International Pictures
1937,Paramount
1937,"Charles Mintz, Producer"
1937,"Walt Disney, Producer"
1937,"Pete Smith, Producer"
1937,Skibo Productions
1937,"Grand National Studio Sound Department, A. E. Kaye, Sound Director"
1937,"RKO Radio Studio Sound Department, John Aalberg, Sound Director"
1937,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1937,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
1937,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
1937,"Columbia Studio Sound Department, John Livadary, Sound Director"
1937,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1937,"Universal Studio Sound Department, Homer G. Tasker, Sound Director"
1937,"Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director"
1937,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director"
1937,Robert Lord
1937,Niven Busch
1937,"Heinz Herald, Geza Herczeg"
1937,Hans Kraly
1937,"William A. Wellman, Robert Carson"
1937,Vina Delmar
1937,"John Lee Mahin, Marc Connelly, Dale Van Every"
1937,"Norman Reilly Raine, Heinz Herald, Geza Herczeg"
1937,"Morris Ryskind, Anthony Veiller"
1937,"Dorothy Parker, Alan Campbell, Robert Carson"
1937,
1937,"""Charlie McCarthy"""
1938,Algiers
1938,Angels with Dirty Faces
1938,The Citadel
1938,Pygmalion
1938,Boys Town
1938,Kentucky
1938,Four Daughters
1938,Marie Antoinette
1938,If I Were King
1938,White Banners
1938,Jezebel
1938,Three Comrades
1938,Of Human Hearts
1938,Merrily We Live
