1934,The Richest Girl in the World ,Norman Krasna [Second]
1934,Shirley Temple,
1935,Clark Gable,Mutiny on the Bounty
1935,Charles Laughton,Mutiny on the Bounty
1935,Victor McLaglen,The Informer
1935,Paul Muni,Black Fury
1935,Franchot Tone,Mutiny on the Bounty
1935,Elisabeth Bergner,Escape Me Never
1935,Claudette Colbert,Private Worlds
1935,Bette Davis,Dangerous
1935,Katharine Hepburn,Alice Adams
1935,Miriam Hopkins,Becky Sharp
1935,Merle Oberon,The Dark Angel
1935,The Dark Angel ,Richard Day
1935,The Lives of a Bengal Lancer ,"Hans Dreier, Roland Anderson [Third]"
1935,Top Hat ,"Van Nest Polglase, Carroll Clark [Second]"
1935,David Copperfield ,Joseph Newman [Third]
1935,Les Miserables ,Eric Stacey
1935,The Lives of a Bengal Lancer ,"Clem Beauchamp, Paul Wing"
1935,A Midsummer Night's Dream ,Sherry Shourds [Second]
1935,Barbary Coast ,Ray June
1935,The Crusades ,Victor Milner [Third]
1935,Les Miserables ,Gregg Toland [Second]
1935,A Midsummer Night's Dream ,Hal Mohr
1935,Busby Berkeley,Lullaby of Broadway and The Words Are In My Heart numbers from Gold Diggers of 1935 [Third]
1935,Bobby Connolly,Latin from Manhattan number from Go into Your Dance
1935,Bobby Connolly,Latin from Manhattan number from Go into Your Dance; and Playboy from Paree number from Broadway Hostess
1935,Dave Gould,I've Got a Feeling You're Fooling number from Broadway Melody of 1936; and Straw Hat number from Folies Bergere
1935,Sammy Lee,Lovely Lady and Too Good To Be True numbers from King of Burlesque
1935,Hermes Pan,"Piccolino and Top Hat, White Tie, and Tails numbers from Top Hat [Second]"
1935,LeRoy Prinz,It's the Animal in Me number from Big Broadcast of 1936; and Viennese Waltz number from All the King's Horses
1935,Benjamin Zemach,Hall of Kings number from She
1935,Captain Blood ,Michael Curtiz [Second]
1935,The Informer ,John Ford
1935,The Lives of a Bengal Lancer ,Henry Hathaway [Third]
1935,Mutiny on the Bounty ,Frank Lloyd
1935,David Copperfield ,Robert J. Kern
1935,The Informer ,George Hively [Third]
1935,Les Miserables ,Barbara McLean
1935,The Lives of a Bengal Lancer ,Ellsworth Hoagland
1935,A Midsummer Night's Dream ,Ralph Dawson
1935,Mutiny on the Bounty ,Margaret Booth [Second]
